path,label
images\train\active\100.jpg,1
images\train\active\10000.jpg,1
images\train\active\10001.jpg,1
images\train\active\10005.jpg,1
images\train\active\10035.jpg,1
images\train\active\10039.jpg,1
images\train\active\1004.jpg,1
images\train\active\10042.jpg,1
images\train\active\10046.jpg,1
images\train\active\10050.jpg,1
images\train\active\1006.jpg,1
images\train\active\10060.jpg,1
images\train\active\10066.jpg,1
images\train\active\10071.jpg,1
images\train\active\10083.jpg,1
images\train\active\10092.jpg,1
images\train\active\10094.jpg,1
images\train\active\10098.jpg,1
images\train\active\10102.jpg,1
images\train\active\10104.jpg,1
images\train\active\10111.jpg,1
images\train\active\1012.jpg,1
images\train\active\10120.jpg,1
images\train\active\10124.jpg,1
images\train\active\10135.jpg,1
images\train\active\10139.jpg,1
images\train\active\1014.jpg,1
images\train\active\10140.jpg,1
images\train\active\10145.jpg,1
images\train\active\10146.jpg,1
images\train\active\10151.jpg,1
images\train\active\10153.jpg,1
images\train\active\10156.jpg,1
images\train\active\10157.jpg,1
images\train\active\10159.jpg,1
images\train\active\10160.jpg,1
images\train\active\10161.jpg,1
images\train\active\10166.jpg,1
images\train\active\10168.jpg,1
images\train\active\1017.jpg,1
images\train\active\10182.jpg,1
images\train\active\10186.jpg,1
images\train\active\10187.jpg,1
images\train\active\10193.jpg,1
images\train\active\10194.jpg,1
images\train\active\10198.jpg,1
images\train\active\10199.jpg,1
images\train\active\10203.jpg,1
images\train\active\10224.jpg,1
images\train\active\10228.jpg,1
images\train\active\10229.jpg,1
images\train\active\1023.jpg,1
images\train\active\10231.jpg,1
images\train\active\10235.jpg,1
images\train\active\10243.jpg,1
images\train\active\10258.jpg,1
images\train\active\10270.jpg,1
images\train\active\10272.jpg,1
images\train\active\10277.jpg,1
images\train\active\10280.jpg,1
images\train\active\10283.jpg,1
images\train\active\10284.jpg,1
images\train\active\1029.jpg,1
images\train\active\10290.jpg,1
images\train\active\10291.jpg,1
images\train\active\10295.jpg,1
images\train\active\10297.jpg,1
images\train\active\10298.jpg,1
images\train\active\103.jpg,1
images\train\active\10307.jpg,1
images\train\active\10314.jpg,1
images\train\active\10318.jpg,1
images\train\active\1032.jpg,1
images\train\active\10327.jpg,1
images\train\active\10331.jpg,1
images\train\active\10341.jpg,1
images\train\active\10343.jpg,1
images\train\active\10345.jpg,1
images\train\active\10347.jpg,1
images\train\active\10351.jpg,1
images\train\active\10366.jpg,1
images\train\active\10368.jpg,1
images\train\active\10376.jpg,1
images\train\active\1038.jpg,1
images\train\active\10387.jpg,1
images\train\active\10398.jpg,1
images\train\active\10400.jpg,1
images\train\active\10418.jpg,1
images\train\active\10422.jpg,1
images\train\active\10424.jpg,1
images\train\active\10427.jpg,1
images\train\active\10428.jpg,1
images\train\active\10436.jpg,1
images\train\active\10438.jpg,1
images\train\active\1044.jpg,1
images\train\active\10447.jpg,1
images\train\active\10449.jpg,1
images\train\active\1046.jpg,1
images\train\active\10464.jpg,1
images\train\active\10465.jpg,1
images\train\active\10469.jpg,1
images\train\active\1047.jpg,1
images\train\active\10471.jpg,1
images\train\active\10477.jpg,1
images\train\active\10478.jpg,1
images\train\active\1048.jpg,1
images\train\active\10481.jpg,1
images\train\active\10483.jpg,1
images\train\active\10485.jpg,1
images\train\active\1049.jpg,1
images\train\active\10492.jpg,1
images\train\active\105.jpg,1
images\train\active\10502.jpg,1
images\train\active\10506.jpg,1
images\train\active\10509.jpg,1
images\train\active\10514.jpg,1
images\train\active\1052.jpg,1
images\train\active\10525.jpg,1
images\train\active\1053.jpg,1
images\train\active\10537.jpg,1
images\train\active\10542.jpg,1
images\train\active\10543.jpg,1
images\train\active\10550.jpg,1
images\train\active\10555.jpg,1
images\train\active\1057.jpg,1
images\train\active\10570.jpg,1
images\train\active\10574.jpg,1
images\train\active\10578.jpg,1
images\train\active\10587.jpg,1
images\train\active\10590.jpg,1
images\train\active\10594.jpg,1
images\train\active\10597.jpg,1
images\train\active\10599.jpg,1
images\train\active\10601.jpg,1
images\train\active\10608.jpg,1
images\train\active\10609.jpg,1
images\train\active\10610.jpg,1
images\train\active\10615.jpg,1
images\train\active\10617.jpg,1
images\train\active\10621.jpg,1
images\train\active\10629.jpg,1
images\train\active\10635.jpg,1
images\train\active\10639.jpg,1
images\train\active\10641.jpg,1
images\train\active\1065.jpg,1
images\train\active\10652.jpg,1
images\train\active\10660.jpg,1
images\train\active\10678.jpg,1
images\train\active\10680.jpg,1
images\train\active\10681.jpg,1
images\train\active\10685.jpg,1
images\train\active\10690.jpg,1
images\train\active\10691.jpg,1
images\train\active\10697.jpg,1
images\train\active\10707.jpg,1
images\train\active\10708.jpg,1
images\train\active\1072.jpg,1
images\train\active\10722.jpg,1
images\train\active\10724.jpg,1
images\train\active\10727.jpg,1
images\train\active\10728.jpg,1
images\train\active\10730.jpg,1
images\train\active\10733.jpg,1
images\train\active\10735.jpg,1
images\train\active\10739.jpg,1
images\train\active\10752.jpg,1
images\train\active\10759.jpg,1
images\train\active\1076.jpg,1
images\train\active\10763.jpg,1
images\train\active\10764.jpg,1
